-0000-1000-8000-00805f9b34fb
handle: 0x0004, char properties: 0x02, char value handle: 0x0005, uuid: 00002a01-0000-1000-8000-00805f9b34fb
handle: 0x0006, char properties: 0x02, char value handle: 0x0007, uuid: 00002a02-0000-1000-8000-00805f9b34fb
handle: 0x0008, char properties: 0x08, char value handle: 0x0009, uuid: 00002a03-0000-1000-8000-00805f9b34fb
handle: 0x000a, char properties: 0x02, char value handle: 0x000b, uuid: 00002a04-0000-1000-8000-00805f9b34fb
handle: 0x000d, char properties: 0x20, char value handle: 0x000e, uuid: 00002a05-0000-1000-8000-00805f9b34fb
handle: 0x0011, char properties: 0x02, char value handle: 0x0012, uuid: 00002a23-0000-1000-8000-00805f9b34fb
handle: 0x0013, char properties: 0x02, char value handle: 0x0014, uuid: 00002a24-0000-1000-8000-00805f9b34fb
handle: 0x0015, char properties: 0x02, char value handle: 0x0016, uuid: 00002a25-0000-1000-8000-00805f9b34fb
handle: 0x0017, char properties: 0x02, char value handle: 0x0018, uuid: 00002a26-0000-1000-8000-00805f9b34fb
handle: 0x0019, char properties: 0x02, char value handle: 0x001a, uuid: 00002a27-0000-1000-8000-00805f9b34fb
handle: 0x001b, char properties: 0x02, char value handle: 0x001c, uuid: 00002a28-0000-1000-8000-00805f9b34fb
handle: 0x001d, char properties: 0x02, char value handle: 0x001e, uuid: 00002a29-0000-1000-8000-00805f9b34fb
handle: 0x001f, char properties: 0x02, char value handle: 0x0020, uuid: 00002a2a-0000-1000-8000-00805f9b34fb
handle: 0x0021, char properties: 0x02, char value handle: 0x0022, uuid: 00002a50-0000-1000-8000-00805f9b34fb
handle: 0x0024, char properties: 0x12, char value handle: 0x0025, uuid: f000aa01-0451-4000-b000-000000000000
handle: 0x0028, char properties: 0x0a, char value handle: 0x0029, uuid: f000aa02-0451-4000-b000-000000000000
handle: 0x002b, char properties: 0x0a, char value handle: 0x002c, uuid: f000aa03-0451-4000-b000-000000000000
handle: 0x002f, char properties: 0x12, char value handle: 0x0030, uuid: f000aa11-0451-4000-b000-000000000000
handle: 0x0033, char properties: 0x0a, char value handle: 0x0034, uuid: f000aa12-0451-4000-b000-000000000000
handle: 0x0036, char properties: 0x0a, char value handle: 0x0037, uuid: f000aa13-0451-4000-b000-000000000000
handle: 0x003a, char properties: 0x12, char value handle: 0x003b, uuid: f000aa21-0451-4000-b000-000000000000
handle: 0x003e, char properties: 0x0a, char value handle: 0x003f, uuid: f000aa22-0451-4000-b000-000000000000
handle: 0x0041, char properties: 0x0a, char value handle: 0x0042, uuid: f000aa23-0451-4000-b000-000000000000
handle: 0x0045, char properties: 0x12, char value handle: 0x0046, uuid: f000aa31-0451-4000-b000-000000000000
handle: 0x0049, char properties: 0x0a, char value handle: 0x004a, uuid: f000aa32-0451-4000-b000-000000000000
handle: 0x004c, char properties: 0x0a, char value handle: 0x004d, uuid: f000aa33-0451-4000-b000-000000000000
handle: 0x0050, char properties: 0x12, char value handle: 0x0051, uuid: f000aa41-0451-4000-b000-000000000000
handle: 0x0054, char properties: 0x0a, char value handle: 0x0055, uuid: f000aa42-0451-4000-b000-000000000000
handle: 0x0057, char properties: 0x0a, char value handle: 0x0058, uuid: f000aa44-0451-4000-b000-000000000000
handle: 0x005a, char properties: 0x02, char value handle: 0x005b, uuid: f000aa43-0451-4000-b000-000000000000
handle: 0x005f, char properties: 0x12, char value handle: 0x0060, uuid: f000aa51-0451-4000-b000-000000000000
handle: 0x0063, char properties: 0x0a, char value handle: 0x0064, uuid: f000aa52-0451-4000-b000-000000000000
handle: 0x0066, char properties: 0x0a, char value handle: 0x0067, uuid: f000aa53-0451-4000-b000-000000000000
handle: 0x006a, char properties: 0x10, char value handle: 0x006b, uuid: 0000ffe1-0000-1000-8000-00805f9b34fb
handle: 0x006f, char properties: 0x02, char value handle: 0x0070, uuid: f000aa61-0451-4000-b000-000000000000
handle: 0x0072, char properties: 0x0a, char value handle: 0x0073, uuid: f000aa62-0451-4000-b000-000000000000
handle: 0x0076, char properties: 0x12, char value handle: 0x0077, uuid: f000ccc1-0451-4000-b000-0000000000
